dataset,condition,classifier,GM,Kappa,MCC,F1,Precision,Recall
internet_ads,SMOTE,GB,0.7065574345196347,0.6413365672827948,0.6473242961910146,0.6464285714285715,0.675,0.6416666666666666
internet_ads,SMOTE,KNN,0.8120890845121694,0.5676133222358493,0.5825401175154483,0.5770238095238095,0.5214285714285715,0.6916666666666667
internet_ads,SMOTE,NB,0.8600666119907545,0.4439879449003158,0.49241006991468395,0.4591791541791542,0.3351641414141414,0.7833333333333333
internet_ads,SMOTE,RF,0.717613177749239,0.67292807986405,0.6895775243555144,0.6764285714285714,0.8333333333333334,0.5875
internet_ads,SMOTE,SGD-LR,0.751101512283617,0.6303357171838352,0.6448037016064841,0.6353571428571428,0.6799999999999999,0.65
internet_ads,SMOTE,SVM,0.6986193745570868,0.5825995506295386,0.6022086557850944,0.5878571428571429,0.6858333333333333,0.5708333333333333
internet_ads,SMOTE,XGBoost,0.6465871435886404,0.5530835203616582,0.5789553791819101,0.5588095238095238,0.7133333333333333,0.5125
lymphography,Original,AdaBoost,0.35560633092820554,0.46582860786591057,0.32234411832889387,0.32333333333333336,0.3066666666666667,0.36
lymphography,Original,CART,0.5,0.8064516129032258,0.5,0.5,0.5,0.5
lymphography,Original,GB,0.4778174466995659,0.7634146341463415,0.4608831086321548,0.46,0.45,0.48
lymphography,Original,KNN,0.0,0.0,0.0,0.0,0.0,0.0
lymphography,Original,NB,0.3934237776277715,0.4471753983949106,0.33903408761416104,0.3433333333333334,0.31666666666666665,0.4
lymphography,Original,RF,0.3,0.5,0.3,0.3,0.3,0.3
lymphography,Original,SGD-LR,0.3578174466995659,0.5237369337979094,0.338025965775012,0.34,0.33,0.36
lymphography,Original,SVM,0.0,0.0,0.0,0.0,0.0,0.0
lymphography,Original,XGBoost,0.19854496446637726,0.3065621370499419,0.18582683432619845,0.18666666666666665,0.18,0.2
